#,mac,name,ipaddress
277;10:9a:dd:b9:88:08;None;172.16.50.17
278;00:1a:6b:46:30:fd;None;192.168.80.60
279;00:17:a4:98:99:51;None;192.168.7.47
280;e8:b4:c8:d7:7e:75;None;172.16.59.178
281;28:94:0f:74:4c:8e;None;172.16.48.105
282;c8:f7:33:47:c9:e4;None;172.16.57.253
283;00:1a:6b:46:2b:18;None;192.168.70.19
284;e4:58:e7:7c:aa:76;None;172.16.59.163
285;00:24:97:aa:7f:06;None;10.200.6.142
286;00:24:97:aa:7f:07;None;10.200.4.148
287;c4:50:06:51:16:fc;None;172.16.61.4
288;f0:db:f8:6d:7c:69;None;172.16.56.199
289;74:ba:db:19:15:46;None;192.168.11.107
290;50:06:04:72:4b:78;None;10.200.1.171
291;dc:ce:bc:a9:96:99;None;172.16.52.199
292;f4:09:d8:38:a6:bd;None;172.16.60.162
293;c0:8c:60:2c:87:fa;None;172.16.48.221
294;4c:4e:35:b3:dc:18;None;172.16.48.200
295;20:4c:9e:d7:65:cd;None;10.200.1.189
296;08:ec:a9:59:5c:c4;None;172.16.52.79
297;4c:bb:58:85:3e:11;None;172.16.52.149
298;d4:3d:7e:41:78:d2;None;192.168.60.38
299;2c:3f:38:c8:d4:73;None;192.168.9.198
300;c0:f8:da:20:f9:17;None;172.16.60.65
301;f8:cf:c5:41:06:c1;None;172.16.62.197
302;a4:ba:db:3d:bb:45;inst-mat.utalca.cl;190.110.100.31
303;00:1f:3c:db:df:f6;None;172.16.58.244
304;9c:d9:17:8f:70:68;None;172.16.62.171
305;00:1f:c6:99:f7:b3;None;192.168.80.211
306;00:1f:c6:99:f7:b5;None;192.168.20.141
307;b8:78:2e:95:1e:7b;None;172.16.57.91
308;00:13:72:9f:8b:e0;None;172.16.17.91
309;08:ee:8b:b5:ce:87;None;172.16.60.175
310;f0:db:e2:eb:9d:b3;None;192.168.9.69
311;00:13:19:dc:27:40;None;192.168.13.99
312;5c:f9:dd:e2:12:fa;None;192.168.10.247
313;c0:1a:da:3f:8b:a2;None;172.16.56.0
314;44:d4:e0:54:e8:bc;None;172.16.59.230
315;6c:1d:9b:23:cd:e9;None;172.16.56.106
316;00:26:99:43:2b:dd;None;10.200.1.206
317;10:dd:b1:9e:ef:34;None;192.168.10.158
318;f4:f1:e1:aa:90:97;None;172.16.50.15
319;34:bb:26:c1:8e:d1;None;172.16.50.168
320;00:16:d4:da:b1:c7;None;172.16.60.64
321;00:24:97:aa:d5:72;None;10.200.3.106
322;00:f7:6f:a5:20:ef;None;172.16.55.235
323;70:77:81:6b:13:51;None;172.16.56.202
324;00:1a:6b:46:1b:ca;None;192.168.80.178
325;5c:51:88:87:38:96;None;172.16.62.177
326;88:cb:87:8f:9f:ff;None;172.16.51.5
327;00:24:97:aa:d5:7e;None;10.200.1.212
328;00:24:97:aa:d5:7d;None;10.200.3.188
329;c0:f2:fb:c2:9f:0f;None;172.16.59.208
330;28:e3:47:fd:1c:c0;None;172.16.52.71
331;28:ed:6a:5a:ef:a6;None;172.16.59.109
332;f0:dc:e2:f2:ec:84;None;172.16.55.223
333;44:37:e6:b4:25:46;None;172.16.19.20
334;5c:f9:dd:e2:c8:94;None;192.168.11.169
335;00:24:97:aa:78:c8;None;10.200.6.250
336;00:24:97:aa:78:c4;None;10.200.6.164
337;a4:5e:60:e8:b1:ad;None;172.16.60.59
338;e8:11:32:ca:85:76;None;192.168.36.84
339;b8:03:05:50:c7:ce;None;172.16.55.199
340;e0:f8:47:40:4f:24;None;172.16.53.212
341;00:24:97:a9:44:ce;None;10.200.6.122
342;f4:09:d8:36:82:d5;None;172.16.61.60
343;5c:0a:5b:c5:3a:d1;None;172.16.58.47
344;f0:db:f8:d4:d2:89;None;172.16.56.127
345;80:6c:1b:aa:b4:14;None;172.16.49.75
346;d0:59:e4:54:93:0f;None;172.16.51.251
347;cc:c3:ea:57:0b:e6;None;172.16.51.203
348;c0:18:85:49:60:b5;None;172.16.59.41
349;18:a9:05:28:ac:e3;None;192.168.10.217
350;34:36:3b:91:2b:6c;None;172.16.55.214
351;08:3e:8e:82:6f:27;None;172.16.61.183
352;00:24:98:7c:9e:40;None;192.168.13.169
353;a8:bb:cf:c5:bf:e5;None;172.16.60.212
354;00:18:8b:07:06:40;None;192.168.50.29
355;90:68:c3:25:49:38;None;172.16.52.83
356;b8:57:d8:d6:45:41;None;172.16.55.77
357;d8:bb:2c:b9:2b:b4;None;172.16.51.183
358;94:de:80:50:d5:74;None;172.16.21.37
359;a8:a6:68:d3:7c:ae;None;172.16.52.116
360;a4:eb:d3:84:89:0d;None;172.16.56.65
361;c4:9a:02:54:7a:7a;None;172.16.59.63
362;ac:5a:14:49:9c:9d;None;172.16.50.59
